City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,cill airne,52.05,-9.5167,16.03,94,100,5.66,IE,1728997590
108,kerikeri,-35.2268,173.9474,9.95,84,81,1.64,NZ,1728997591
109,blackmans bay,-43.0167,147.3167,10.07,73,50,0.89,AU,1728997592
110,antsiranana,-12.2787,49.2917,31.42,40,20,3.09,MG,1728997594
111,anadyr,64.75,177.4833,-1.11,86,100,3.0,RU,1728997595
112,tete,-16.1564,33.5867,39.05,29,75,4.63,MZ,1728997596
113,serhetabat,35.2799,62.3438,21.01,36,77,3.82,TM,1728997597
114,saint-joseph,-21.3667,55.6167,25.21,80,32,0.75,RE,1728997598
115,isafjordur,66.0755,-23.124,1.02,75,75,1.03,IS,1728997600
116,college,64.8569,-147.8028,-0.31,86,100,0.0,US,1728997601
117,nar'yan-mar,67.6713,53.087,1.13,80,100,5.53,RU,1728997602
118,loncoche,-39.3667,-72.6333,12.02,63,100,1.4,CL,1728997603
119,gamba,-2.65,10.0,27.19,70,38,4.44,GA,1728997604
120,labytnangi,66.6572,66.4183,-0.25,97,100,0.93,RU,1728997605
121,chonchi,-42.6128,-73.8092,12.29,79,100,0.99,CL,1728997410
122,jalai nur,49.45,117.7,1.19,47,100,4.09,CN,1728997519
123,yellowknife,62.456,-114.3525,3.01,100,100,5.14,CA,1728997608
124,obo,5.3998,26.4869,28.35,65,100,1.78,CF,1728997609
125,queenstown,-31.8976,26.8753,17.73,27,55,9.24,ZA,1728997610
126,alice springs,-23.7,133.8833,25.75,36,40,0.51,AU,1728997611
127,dame-marie,18.5667,-74.4167,28.37,75,100,0.46,HT,1728997613
128,margaret river,-33.95,115.0667,12.28,75,9,2.29,AU,1728997614
129,papatowai,-46.5619,169.4708,5.1,82,57,2.79,NZ,1728997615
130,avarua,-21.2078,-159.775,21.03,68,75,1.54,CK,1728997616
131,uporovo,56.3109,66.2693,0.7,80,8,1.52,RU,1728997617
132,sinop,41.7711,34.8709,14.54,83,62,3.19,TR,1728997618
133,ust-nera,64.5667,143.2,-11.93,94,100,2.3,RU,1728997619
134,longyearbyen,78.2186,15.6401,3.91,70,75,5.14,SJ,1728997620
135,hermanus,-34.4187,19.2345,21.0,37,0,10.2,ZA,1728997621
136,tangalle,6.024,80.7911,25.83,85,100,5.72,LK,1728997623
137,calvinia,-31.4707,19.776,27.47,9,4,8.37,ZA,1728997489
138,chadron,42.8294,-102.9999,1.65,74,0,3.09,US,1728997625
139,el fasher,13.6279,25.3494,35.16,15,1,2.98,SD,1728997335
140,lorengau,-2.0226,147.2712,27.63,78,100,2.32,PG,1728997627
141,miri,4.4148,114.0089,26.98,83,100,2.55,MY,1728997628
142,east london,-33.0153,27.9116,17.02,53,72,6.11,ZA,1728997630
143,nabire,-3.3667,135.4833,25.16,93,100,1.78,ID,1728997631
144,saldanha,-33.0117,17.9442,17.47,58,4,5.69,ZA,1728997632
145,yelan',50.949,43.7378,4.2,87,100,5.26,RU,1728997633
146,el nido,11.1858,119.3956,26.19,97,87,1.14,PH,1728997635
147,horta,38.5333,-28.6333,21.68,68,40,7.72,PT,1728997636
148,fortuna,40.5982,-124.1573,11.86,98,0,4.12,US,1728997637
149,saipan,15.1355,145.701,28.39,83,20,1.54,MP,1728997638
150,prince george,53.9166,-122.753,2.01,100,100,1.03,CA,1728997433
151,rangapara,26.8167,92.65,22.65,88,8,2.33,IN,1728997640
152,pailon,-17.65,-62.75,31.88,42,100,5.43,BO,1728997641
153,mount pearl,47.5166,-52.7813,11.52,98,100,8.75,CA,1728997642
154,carnarvon,-24.8667,113.6333,20.75,66,12,9.0,AU,1728997644
155,bikenibeu village,1.3673,173.1241,28.61,75,7,9.01,KI,1728997645
156,lihue,21.9789,-159.3672,25.77,78,0,6.69,US,1728997646
157,hinna,10.3043,11.4991,30.6,53,27,0.86,NG,1728997648
158,ihosy,-22.4,46.1167,30.22,19,48,6.39,MG,1728997639
159,ilulissat,69.2167,-51.1,-1.99,80,100,7.2,GL,1728997650
160,lebu,-37.6167,-73.65,12.24,63,100,2.79,CL,1728997651
161,mar del plata,-38.0023,-57.5575,17.01,97,75,2.57,AR,1728997353
162,antunez,19.0167,-102.2,21.69,91,100,0.37,MX,1728997654
163,lushun,38.8,121.2667,11.12,42,0,7.96,CN,1728997655
164,as-suwayda,32.709,36.5695,26.34,32,0,4.47,SY,1728997656
165,ondjiva,-17.0667,15.7333,36.25,12,67,2.74,AO,1728997657
166,ushuaia,-54.8,-68.3,12.81,41,0,10.29,AR,1728997651
167,chillicothe,39.3331,-82.9824,7.17,98,100,0.0,US,1728997495
168,invercargill,-46.4,168.35,5.57,85,42,0.45,NZ,1728997660
169,gandajika,-6.75,23.95,31.92,39,80,2.66,CD,1728997661
170,tofol,5.3248,163.0078,28.98,76,100,4.94,FM,1728997663
171,puerto tirol,-27.3722,-59.0821,23.0,83,100,6.69,AR,1728997664
172,fecamp,49.7579,0.3746,18.95,75,100,7.4,FR,1728997665
173,santa cruz,-17.8,-63.1667,28.03,69,18,6.69,BO,1728997594
174,kone,-21.0595,164.8658,20.66,82,100,1.78,NC,1728997667
175,amvrosiyivka,47.7935,38.4777,11.28,65,68,3.77,UA,1728997668
176,bechar,31.6167,-2.2167,22.48,39,100,7.24,DZ,1728997669
177,sao tome,0.3365,6.7273,27.49,74,95,2.48,ST,1728997670
178,belyy yar,53.6039,91.3903,-0.06,74,16,2.0,RU,1728997671
179,hammerfest,70.6634,23.6821,4.25,81,75,5.14,NO,1728997673
180,zhanaozen,43.3,52.8,11.14,19,10,5.02,KZ,1728997674
181,machico,32.7,-16.7667,27.35,61,40,3.09,PT,1728997675
182,port alfred,-33.5906,26.891,18.43,55,66,3.58,ZA,1728997676
183,jabor,5.921,169.6434,29.03,76,46,5.54,MH,1728997677
184,lhasa,29.65,91.1,6.84,83,100,2.33,CN,1728997678
185,kingston,17.997,-76.7936,27.53,83,40,5.66,JM,1728997183
186,altay,47.8667,88.1167,5.5,54,100,2.32,CN,1728997516
187,luchegorsk,46.4764,134.2569,5.0,68,63,3.61,RU,1728997681
188,amherst,41.3978,-82.2224,6.1,95,98,1.34,US,1728997683
189,margate,51.3813,1.3862,16.04,85,100,0.89,GB,1728997684
190,tanjung pandan,-2.75,107.65,26.73,79,10,2.64,ID,1728997685
191,codrington,-38.2667,141.9667,13.03,95,0,3.87,AU,1728997686
192,iqaluit,63.7506,-68.5145,-1.15,92,75,4.12,CA,1728997687
193,crane,31.3974,-102.3501,18.47,35,0,3.84,US,1728997688
194,cosala,24.4125,-106.6908,19.34,79,0,1.53,MX,1728997689
195,leo,11.1,-2.1,31.94,48,7,3.48,BF,1728997690
196,kikwit,-5.041,18.8162,31.96,43,95,1.93,CD,1728997691
197,gadzhiyevo,69.2551,33.3362,4.29,96,100,3.95,RU,1728997693
198,nova sintra,14.8667,-24.7167,27.32,75,51,5.37,CV,1728997694
199,boca suno,-0.7167,-77.1333,23.69,89,92,0.99,EC,1728997695
200,ravar,31.2656,56.8055,29.38,13,35,4.25,IR,1728997696
201,cabo san lucas,22.8909,-109.9124,24.5,69,1,3.97,MX,1728997536
202,enewetak,11.3474,162.3373,28.61,79,100,6.52,MH,1728997698
203,el calafate,-50.3408,-72.2768,7.13,76,100,1.5,AR,1728997699
